key,dsb,hsb
help_links_4,"Sy admin abo moderator?Pón wužywaj dashboard w seśi!","Sy admin abo moderator?
Potom wužiwaj dashboard we syći!"
verify_criterias_0,"starstwo wót 18 lět","staroba wot 18 lět"
verify_criterias_1,"maš wósebny póśěg ku kostrjancoju abo społnijoš wósebny status w towarišnosći","maš wosebity poćah ke kostrjancu abo spjelniš wosebity status w towaršnosći"
verify_criterias_2,"wužywaš kostrjanc regularnje a źiwaš na pšawidła za wužywanje","wužiješ kostrjanc regularnje a wobkedźbuješ regule za wužiwanje"
verify_criterias_3,"źaržyš se na moralne normy a akceptěrujoš pšawa a pšawa a pšawidła w a zwenka kostrjanca","dźeržiš so na moralne normy a akceptuješ prawa a regule w a zwonka kostrjanca"
verify_criterias_4,"akceptěrujoš w a zwenka kostrjanca kuždego sobucłowjeka","akceptuješ w a zwonka kostrjanca kóždeho sobučłowjeka"
auth_logout_0_title,"Wótzjawiś?","Wotzjewić?"
auth_logout_0_sub,"Coš se napšawdu z twójogo konta wótzjawiś?","Chceš ty so woprawdźe z twojeho konta wotzjewić?"
auth_delete_0_title,"Konto wótwónoźeś?","Konto wotstronić?"
auth_delete_0_sub,"Coš napšawdu twójo konto wótpóraś?","Chceš ty woprawdźe twój konto wotstronić?"
auth_delete_1_title,"Sy se napšawdu wěsty, twójo konto jo za pśecej pšec!","Sy sej woprawdźe wěsty, twój konto je za přeco fuk!"
auth_server_offline_0_title,"Coš serwer na 'offline' stajiś?","Chceš serwer na 'offline' stajić?"
auth_server_offline_0_sub,"Coš napšawdu serwer zgrabaś? Pó tom nichten wěcej pśistup na serwer njama.","Chceš woprawdźe serwer hasnyć? Po tym nichtó wjac přistup na serwer nima."
auth_server_offline_1_title,"Coš NAPŠAWDU serwer na 'offline' sajźiś?","Chceš WOPRAWDŹE serwer na 'offline' sadźić?"
auth_server_offline_1_sub,"Zapódaj 'offline'.","Zapodaj 'offline'."
auth_server_offline_successful,"Serwer jo se wuspěšnje na 'offline' sajźił.","Serwer je so wuspěšnje na 'offline' sadźił."
auth_server_pause_0_title,"Coš serwer na 'pśestawku' stajiś?","Chceš serwer na 'pause' stajić?"
auth_server_pause_0_sub,"Coš napšawdu serwer zgrabaś? Pó tom nichten wěcej pśistup na serwer njama.","Chceš woprawdźe serwer hasnyć? Po tym nichtó wjac přistup na serwer nima."
auth_server_pause_1_title,"Kak dłujko se serwer lašujo?","Kak dołho budźe serwer hasnjeny?"
auth_server_pause_1_sub,"Zapódaj cas, kak dłujko ma serwer deaktiwěrowany byś. Pšosym mysli na to, až ma se serwer manuelnje zasej na online sajźiś!","Zapodaj čas, kak dołho ma serwer hasnjeny być. Prošu mysli na to, zo ma so serwer manuelnje zaso na online sadźić!"
auth_server_pause_2_title_0,"Coš NAPŠAWDU serwer na 'pśestawku' za","Chceš WOPRAWDŹE serwer na 'pause' za"
auth_server_pause_2_title_1,"sajźiś?","sadźić?"
auth_server_pause_2_sub,"Zapódaj 'pśestawku'.","Zapodaj 'pause'."
auth_server_pause_successful,"Serwer jo se wuspěšnje na 'pśestawku' sajźił.","Serwer je so wuspěšnje na 'pause' sadźił."
auth_copyid_successful,"Twój id jo se kopěrowała!","Twoja id je so kopěrowała!"
auth_eventranking_title,"Coš napšawdu ranking ewentow aktualizěrowaś?","Chceš woprawdźe ranking ewentow aktualizować?"
auth_eventranking_success,"Ranking ewentow jo se aktualizěrował.","Ranking ewentow je so aktualizował."
auth_eventranking_error,"Zmólka pśi aktualizěrowanju.","Zmylk při aktualizowanju."
auth_landing_welcome_title,"Witaj pla","Witaj pola"
auth_landing_sub_0,"Wšojadno, kak dłujko njejsy how był,","Wšojedne, kak dołho hižo njejsy tu był,"
auth_landing_sub_1,"abo lěc jo to samo prědny raz how.","abo hač je to samo prěni raz tu."
auth_landing_sub_2,"Sy wutšobnje witany!","Sy wutrobnje witany!"
auth_landing_begin,"Zachop z twójim puśom ned ze stśělcom:","Započinaj twój puć hnydom z kostrjancom:"
auth_landing_login,"Se pśizjawiś","So přizjewić"
auth_landing_register,"Nowe konto wótwóriś.","Nowy konto wotewrić"
auth_login_title,"Pśizjaw se z twójim kontom:","Přizjew so z twojim kontom:"
auth_login_forgetpassword,"Gronidło zabył?","Hesło zabył?"
auth_login_error_login,"Zmólka w pśizjawjenju!","Zmylk w přizjewjenju!"
auth_register_title,"Napóraj se nowe konto:","Wutwor sej nowy konto:"
auth_register_0_intro,"Pśeźěłaj kšace, aby swójske konto napórał a toś to ned personalizěrował.","Předźěłaj kroki, zo bych swójski konto wutworił a tutón hnydom personalizował."
auth_register_0_welcome,"Witaj pla","Witaj pola"
auth_register_0_usernametext,"Wupytaj sebje wužywarske mě, toś to njemusy twójo pšawe mě byś. Z tym muse pśijaśele śi zasej namakaś móc.","Wupytaj sej wužiwarske mjeno, tute njedyrbi twoje prawe mjeno być. Z tutym dyrbja přećeljo tebje zaso namakać móc."
auth_register_1_intro,"Hallo","Hallo"
auth_register_1_pbtext,"Wuzwól sebje profilowy wobraz. Toś ten a twójo mě stej markantnej symbole twójogo profila.","Wuzwol sej profilny wobraz. Tutón a twoje mjeno stej markantnej symbolej twojeho profila."
auth_register_1_pbhint,"Tłoc, aby wobraz pśepytał","Tłóč, zo wobrazy přepytać móžeš"
auth_register_2_descriptiontext,"Něnto dodaj hyšći někotare informacije wó tebje, až teke wužywarje, kenž śi hyšći njeznaju, kusk zarědowaś mógu.","Nětko dodaj hišće někotre informacije wo tebi, zo tež wužiwarjo, kiž će hišće njeznaja, kusk zarjadować móža."
auth_register_3_accounttext,"Až móžoš se z kontom wšuźi pśizjawiś dodaj pśizjawjeńske informacije.","Zo móžeš so z kontom wšudźe přizjewić dodaj přizjewjenske informacije."
auth_register_4_agbtext,"Na kóńcu pšosymy śi naše powšykne pśekupowańske wuměnjenja a pšawidła za wužywanje wót módrace sebje pśecytaś a akceptěrowaś.","Na kóncu prosymy tebje naše powšitkowne wobchodne wuměnjenja a regule za wužiwanje wot kostrjanc sej přečitać a akceptować."
auth_register_4_agbcheck,"Ja akceptěrujom powšykne pśekupowańske wuměnjenja a pšawidła za wužywanje módryca.","Ja akceptuju powšitkowne wobchodne wuměnjenja a regule za wužiwanje kostrjanca."
auth_register_4_checksettingstext,"Sy wobjadny ze swójimi zastajenjami?","Sy přezjedny ze swojimi zastajenjemi?"
auth_register_4_publishtext,"Pótom zawjas toś te a pśistup do šturnika!","Potom wozwjeł tute a přistup do kostrjanca!"
auth_register_errorregister,"Zmólka pśi registrěrowanju!","Zmylk při registrowanju!"
auth_reset_title,"Šćitne gronidło slědk sajźiś:","Hesło wróćo sadźić:"
auth_reset_error_reset,"Zmólka we slědkstajanju!","Zmylk we wróćosadźenju!"
auth_reset_error_alreadysend,"Sy južo šćitne gronidło slědk sajźił.","Sy hižo hesło wróćo sadźił."
auth_reset_confirm_title,"E-mail jo se wótpósłała.","Email je so wotpósłała."
auth_reset_confirm_sub,"E-mail za slědksajźenje šćitnego gronidła jo se na twóju mejlku pósłała.","Email za wróćosadźenje hesła je so na twoju mailku pósłała."
editprofile_headeredit,"Wobźěłaś:","Wobdźěłać:"
editprofile_myname,"Mě:","Moje mjeno:"
editprofile_namehint,"Mě njedajo se změniś, jano na priwatne napšašowanje.","Mjeno njeda so změnić, jenož na priwatne naprašowanje."
editprofile_pbtitle,"Profilowy wobraz:","Profilny wobraz:"
editprofile_pbhint,"Tłoc, až móžoš wobraze pśepytaś","Tłoč, zo wobrazy přepytać móžeš"
editprofile_descriptiontitle,"Wopisowanje konta:","Wopisowanje konta:"
editprofile_save,"wótkłasć","Składować"
ban_title,"Ty sy z módrace wuzamknjony.","Ty sy z kostrjanca wuzamknjeny."
ban_sub_0,"Njejsy se pšawje zaźaržał a něnto jo moderacija śi blokěrowała.","Njejsy so prawje zadźeržał a nětk je moderacija tebje blokěrowała."
ban_sub_1,"Na kostrjanc.de móžoš se wó wulichowanje pšašaś.","Na kostrjanc.de móžeš wo wuswobodźenje prašeć."
updateversion_title,"Applacija kóstwaŕ njejo wěcej na nejnowšem stawje.","Aplikacija kostrjanc njeje wjac na najnowšim stawje."
updateversion_sub,"Nowa wersija namakajo se w","Nowa wersija namaka so w"
updateversion_clientversion,"Client wersija:","Client wersija:"
updateversion_currentversion,"Aktualna wersija:","Aktualna wersija:"
serverstatus_title,"kóstowc jo tuchylu offline.","kostrjanc je tučasnje offline."
serverstatus_pause_title,"Na kostrjanc se źěła abo jaden drugi problem wobstoj, až jo se dejał serwer gasnuś.","Na kostrjanc so dźěła abo jedyn tamny problem wobsteji, zo je so dyrbjał serwer hasnyć."
serverstatus_pause_time_0,"cas se na","Čas so na"
serverstatus_pause_time_1,"pówoblicyjo.","trochuje."
serverstatus_pause_time_2,"Zachopjeńk jo był w","Započatk běše w"
serverstatus_offline_title,"Na kostrjanc se źěła abo jaden drugi problem wobstoj, až jo se dejał serwer gasnuś. Cas, gdy serwer se zasej startujo, njamóžo se pawšalnje groniś.","Na kostrjanc so dźěła abo jedyn tamny problem wobsteji, zo je so dyrbjał serwer hasnyć. Čas, hdy serwer so zaso startuje, njemóže so pawšalnje prajić."
serverstatus_sub,"Pšosymy wó rozměśe.","Prosymy wo zrozumjenje."
profile_follower,"pśeslědowarje","Sćěhowarjo"
profile_following,"Slědujo.","Sćěhuje"
profile_onfollow_error_title,"Zmólka pśi slědowanju.","Zmylk při sćěhowanju"
profile_onfollow_error_sub,"Zmólka jo se nastała. Zmólka:","Je so zmylk jewił. Zmylk: "
profile_contentlist,"wózjawjenja","Wozjewjenja"
profile_editbuttontext,"wobźěłaś.","Wobdźěłać"
profile_role_sub_0,"jo:","je:"
profile_role_sub_1,"na kostrjancu.","na kostrjancu."
profile_role_admin,"admin","admin"
profile_role_mod,"moderator","moderator"
profile_score_title,"Wuběźowanje-Score","Wubědźowanje-Score"
profile_score_sub_1,"jo"," je "
profile_score_sub_2,"dypkow w tyźeńskich wuběźowanjach zgromaźił."," dypkow w tydźenskich wubědźowanjach zhromadźił."
conent_translation_title,"Wopśimjeśe pśełožone","Wobsah přełoženy"
conent_translation_sub,"Toś to wopśimjeśe jo se z sotra.app pśełožyło.","Tutón wobsah bu z sotra.app přełoženy."
interactionbar_title,"Funkcije za wužywarja:","Funkcije za wužiwarja:"
challengecard_subtitle,"Nowe tyźeńske wuběźowanje groni:","Nowe tydźenske wubědźowanje rěka:"
challengecard_hint,"Źi do wuběźowańskeje kupki a likej posta kenž se śi spódobaju. Połož sam se góźecy wobraz k temje a dobyń sebje dypki na swój profil.","Dźi do wubědźowanskeje skupiny a likeuj posty kotrež so ći lubja. Postuj sam so hodźacy wobraz k temje a zdobudź sej dypki na swój profil."
landing_group_selectgroup,"kupku wuzwóliś","Skupinu wolić"
landing_nocontenttext,"Wěcej wopśimjeśow njedajo na kostrjanc.","Wjac wobsahow njedawaja na kostrjanc."
landing_newcontentbutton,"Nowe wopśimjeśa su k dispoziciji.","Nowe wobsahi su k dispoziciji."
contentpage_search,"Pytaj něco.","Pytaj něšto."
contentpage_contenthint,"Póglědaj raz na pólu:","Pohladaj raz pola:"
contentpage_searchresulttext,"Pytański wuslědk:","Pytanski wuslědk:"
contentpage_randomresulttext,"Co my dopórucujomy:","Što my doporučimy:"
contentpage_eventlisttitle,"Naše dopórucenja za tebje:","Naše doporučenja za tebje:"
contentpage_lastupdatetext,"Slědna aktualizacija jo była:","Poslednja aktualizacija bě: "
contentpage_noevents,"Žedne ewenty za ranking.","Žane ewenty za ranking."
content_aboutcreator,"Wó awtora:","Wo awtorje:"
content_group_title,"Wó kupce:","Wo skupinje:"
content_group_sub,"Toś to wopśimjeśe jo se w jadnej kupce wózjawiło. Jano cłonki kupki mógu toś to wopśimjeśe wiźeś.","Tutón wobsah bu w jednej skupinje wozjewjeny. Jenož čłonojo skupiny móža tutón wobsah widźeć."
content_comments_title,"Komentary:","Komentary:"
content_comments_newcommenttitle,"Nowy komentar:","Nowy komentar:"
event_checkshint,"Pódla su teke:","Pódla su tež:"
event_about_title,"Wó ewenśe:","Wo ewenće:"
event_about_type,"družyna:","Družina:"
event_about_entranefee,"Zastup:","Zastup:"
event_about_website,"webbok:","Webstrona:"
event_checkstitle,"Chto jo pódla:","Štó je pódla:"
event_checkspagetitle,"Chto jo pódla.","Štó je pódla"
event_contentcard_big_0,"Pódla su hyšći.","Pódla su hišće "
event_contentcard_big_1,"druge. Buź teke pódla!"," druzy. Budź tež pódla!"
event_contentcard_medium_0,"druge."," druzy."
event_contentcard_small_0,"su pśilubili."," su připrajili."
landingcreate_title,"Nowe wózjawjenje:","Nowe wozjewjenje:"
landingcreate_post_title,"nowy post","Nowy post"
landingcreate_post_sub,"Coš nowy post wózjawiś?Toś ten wopśimjejo wobraz z titelom a pśidatnym tekstom.","Chceš nowy post wozjewić?
Tutón wopřija wobraz z titulom a přidatnym tekstom."
landingcreate_event_title,"nowy ewent","Nowy ewent"
landingcreate_event_sub,"Coš nowy event wózjawiś?Toś ten wopśimjejo městno na kórśe z titelom a pśidatnymi informacijami.","Chceš nowy ewent wozjewić?
Tutón wopřija městnosć na karće z titulom a přidatnymi informacijemi."
landingcreate_group_title,"nowa kupka","Nowa skupina"
landingcreate_group_sub,"Coš nowu kupku wótwóriś?K jadnej kupce mógu lubowólnje wužywarje zastupiś a wiźeś, co jo se w toś tej kupce źěliło.","Chceš nowu skupinu wotewrěć?
K jednej skupinje móža lubowólnje wužiwarjo zastupić a widźeć, što je so w tutej skupinje dźěliło."
landingcreate_error_title,"Publicěrowanje njejo móžne.","Wozjewjenje njeje móžne."
landingcreate_error_sub_p,"Wózjawjenje posta njejo móžne.","Wozjewjenje posta njeje móžne."
landingcreate_error_sub_e,"Wózjawjenje ewenta njejo móžne.","Wozjewjenje ewenta njeje móžne."
postcreate_headertitle,"Nowy post wózjawiś.","Nowy post wozjewić"
postcreate_posttitle,"titel","Titul"
postcreate_imghint,"Tłoc, až móžoš wobraze pśepytaś","Tłoč, zo wobrazy přepytać móžeš"
postcreate_postdescription,"Wopisowanje wobraza","Wopisowanje wobraza"
postcreate_addinformation,"Wobźěłanje informacijow:","Wobdźěłanje informacijow:"
postcreate_info_title,"titel posta zapódaś:","Titul posta zapodać:"
postcreate_info_description,"Wopisanje posta zapódaś:","Wopisowanje posta zapodać:"
postcreate_challengeselect_title,"Za aktualne wuběźowanje zapódaś:","Za aktualne wubědźowanje zapodać:"
postcreate_challengeselect_description,"Ty maš pšawu post za wuběźowanje ten tyźeń? Pón toś ten jadnorje how zapódaj.","Ty maš prawy post za wubědźowanje tutón tydźeń? Potom tutón prosće tu zapodaj."
postcreate_challengeselect_button_select,"Za wuběźowanje zapódaś.","Za wubědźowanje zapodać."
postcreate_challengeselect_button_unselect,"Za wuběźowanje wuzwólone.","Za wubědźowanje wuzwolene."
postcreate_challengeselect_alreadysent,"Sy južo post toś ten tyźeń zapódał.","Sy hižo post tutón tydźeń zapodał."
postcreate_publishsuccessful_title,"Wuspěšnje wózjawjony post!","Wuspěšnje wozjewjeny post!"
postcreate_editsuccessful_title,"Wuspěšnje wobźěłany post!","Wuspěšnje wobdźěłany post!"
postcreate_publishrejected_badwords_title,"Post jo se wótpokazał","Post je so wotpokazał"
postcreate_publishrejected_badwords_sub,"Twój post wopśimujo rěc, kótaraž njejo dowólona na kostrjancu.","Twój post wobsahuje rěč, kotraž njeje na kostrjancu dowolena."
postcreate_publishrejected_title,"Post jo se wótpokazał","Post je so wotpokazał"
postcreate_publishrejected_sub,"Twója post jo se wótpokazał wót našych systemow, wopytaj pózdźej hyšći raz.","Twój post je so wot našich systemow wotpokazał, spytaj pozdźišo hišće jónu."
eventcreate_headertitle,"Nowy ewent wózjawiś.","Nowy ewent wozjewić"
eventcreate_eventtitle,"titel","Titul"
eventcreate_eventdescription,"Wopisowanje ewenta","Wopisowanje ewenta"
eventcreate_addinformation,"Wobźěłanje informacijow:","Wobdźěłanje informacijow:"
eventcreate_info_title,"Titel ewenta zapódaś:","Titul ewenta zapodać:"
eventcreate_info_description,"Wopisanje ewenta zapódaś:","Wopisowanje ewenta zapodać:"
eventcreate_info_times,"Cas ewenta:","Časy ewenta:"
eventcreate_info_times_start,"zachopjeńk","Spočatk"
eventcreate_info_times_end,"kóńc","Kónc"
eventcreate_info_times_hint,"zachopjeńk a kóńc","spočatk a kónc"
eventcreate_eventdata_title,"Pśidatne pódaśa:","Přidatne podaća:"
eventcreate_eventdata_sub,"Wubjeŕ sebje informacije kótarež coš pśidatnje dodaś:","Wuzwol sej informacije kiž chceš přidatnje dodać:"
eventcreate_eventdata_type,"typ ewenta","Typ ewenta"
eventcreate_eventdata_entrancefee,"nastupne kosty","Zastupne košty"
eventcreate_eventdata_website,"webbok k ewenśe","Webstrona k ewenće"
eventcreate_eventdata_adbanner,"wabjeński wobraz / plakat","Wabjenski wobraz / plakat"
eventcreate_eventdata_tags,"pśidatne dny","Přidatne Tags"
eventcreate_eventdata_hint,"Wšykne pódaśa pód toś teju kategoriju su dobrowólne a njemuse se pódaś.","Wšitke podaća pod tutej kategoriji su dobrowólne a njedyrbja so podać."
eventcreate_type_title,"Typ ewenta:","Typ ewenta:"
eventcreate_entrancefee_title,"Zastupna płaśizna:","Zastupna płaćizna:"
eventcreate_entrancefee_sub,"Zastupnu płaśiznu zapódaś:","Zastupnu płaćiznu zapodać:"
eventcreate_entrancefee_inputplaceholder,"Zastupna płaśizna w euro","Zastupna płaćizna w Euro"
eventcreate_website_title,"Webbok k ewentoju:","Webstrona k ewenće:"
eventcreate_website_sub,"Webbok zapódaś:","Webstronu zapodać:"
eventcreate_website_inputplaceholder,"połna URL","połna URL"
eventcreate_adbanner_title,"Wabjeński plakat / wobraz:","Wabjenski plakat / wobraz:"
eventcreate_adbanner_imghint,"Tłoc, až móžoš wobraze pśepytaś","Tłoč, zo wobrazy přepytać móžeš"
eventcreate_adbanner_edithint,"Tuchylu njamóžoš pó wózjawjenju wabjeński wobraz južo změniś. To se hyšći w pśiducych uploadach změnijo.","Tučasnje njemóžeš po wozjewjenju wabjenski wobraz hižo změnić. To změni so hišće w přichodnych uploadach."
eventcreate_tags_title,"źeń:","Tags:"
eventcreate_publishsuccessful_title,"Wuspěšnje wózjawjony ewent!","Wuspěšnje wozjewjeny ewent!"
eventcreate_editsuccessful_title,"Wuspěšnje wobźěłany ewent!","Wuspěšnje wobdźěłany ewent!"
eventcreate_publishrejected_badwords_title,"Event jo se wótpokazał","Ewent je so wotpokazał"
eventcreate_publishrejected_badwords_sub,"Twój ewent wopśimujo rěc, kótaraž njejo dowólona na kostrjancu.","Twój ewent wobsahuje rěč, kotraž njeje na kostrjancu dowolena."
eventcreate_publishrejected_title,"Event jo se wótpokazał","Ewent je so wotpokazał"
eventcreate_publishrejected_sub,"Twój ewent jo se wót našych systemow wótpokazał, wopytaj pózdźej hyšći raz.","Twój ewent je so wot našich systemow wotpokazał, spytaj pozdźišo hišće jónu."
eventcreate_nostart,"Žeden zachopjeńk pódany.","Žadyn spočatk podaty"
eventcreate_noend,"Žeden kóńc pódany.","Žadyn kónc podaty"
eventcreate_maphint,"Zooměruj a pśesuń kórtu, až poziciju špěrki změnijoš. Špěra pokazujo na městno ewenta.","Zoomuj a přesuń kartu, zo poziciju pokazowaka změniš. Pokazowak pokaza na městnosć ewenta."
eventcreate_date,"datum","Datum"
eventcreate_time,"cas","Čas"
groupcreate_headertitle,"nowu kupku załožyś.","Nowu skupiwu załožić"
groupcreate_groupname,"mě kupki","Mjeno skupiny"
groupcreate_groupdescription,"Wopisowanje kupki.","Wopisowanje skupiny"
groupcreate_addinformation,"Wobźěłanje informacijow:","Wobdźěłanje informacijow:"
groupcreate_info_name,"Mě kupki zapódaś:","Mjeno skupiny zapodać:"
groupcreate_info_name_notavailable_title,"Kupkowe mě jo wužywane","Skupinske mjeno je wobsadźene"
groupcreate_info_name_notavailable_sub,"Eksistěrujo južo kupka z toś tym mjenim. Pšosym změń swójo kupkowe mě.","Eksistuje hižo skupina z tutym mjenom. Prošu změń swoje skupinske mjeno."
groupcreate_info_description,"Wopisowanje kupki zapódaś:","Wopisowanje skupiny zapodać:"
groupcreate_editimage_hint_title,"Kupkowy wobraz njewobźěłajobny.","Skupinski wobraz njewobdźěłajomny."
groupcreate_editimage_hint_sub,"Kupkowe wobraze njedaju se aktualnje bóžko hyšći wobźěłaś. Toś ta funkcija pak buźo w slědujucych uploadach k dispoziciji.","Skupinske wobrazy njedadźa so aktualnje bohužel hišće wobdźěłać. Tuta funkcija pak budźe w slědowacych uploadach k dispoziciji."
groupcreate_addmembers_input_title,"Wužywarja pśidaś:","Wužiwarja přidać:"
groupcreate_addmembers_input_sub,"Mě wužywarja zapódaś:","Mjeno wužiwarja zapodać:"
groupcreate_addmembers_result_title,"Pytański wuslědk:","Pytanski wuslědk:"
